Date,Ticker,Open,High,Low,Close,Close.1
2025-12-03,AAPL,286.20,288.61,283.54,284.15,284.15
2025-12-03,AMZN,233.35,233.38,230.64,232.38,232.38
2025-12-03,AVGO,380.27,382.29,370.65,380.61,380.61
2025-12-03,BRK-B,507.52,509.60,503.60,503.60,503.60
2025-12-03,GLD,388.46,390.13,385.83,386.88,386.88
2025-12-03,META,644.41,648.85,638.60,639.60,639.60
2025-12-03,MSFT,476.29,484.24,475.20,477.73,477.73
2025-12-03,NVDA,181.07,182.42,179.11,179.59,179.59
2025-12-03,PLTR,170.14,176.34,168.83,176.08,176.08
2025-12-03,QQQ,619.60,624.22,618.04,623.52,623.52
2025-12-03,SPY,680.57,684.91,679.69,683.89,683.89
2025-12-03,TSLA,431.85,447.91,431.12,446.74,446.74
2025-12-18,AAPL,273.61,273.63,266.95,272.19,
2025-12-18,AMZN,225.71,229.23,224.41,226.76,
2025-12-18,AVGO,336.00,336.03,323.63,329.88,
2025-12-18,BRK-B,502.23,505.43,501.01,503.39,
2025-12-18,GLD,398.28,402.21,396.05,398.57,
2025-12-18,META,657.03,670.56,656.46,664.45,
2025-12-18,MSFT,478.19,489.60,477.89,483.98,
2025-12-18,NVDA,174.53,176.15,171.82,174.14,
2025-12-18,PLTR,181.51,187.33,181.51,185.69,
2025-12-18,QQQ,609.80,612.93,606.92,609.11,
2025-12-18,SPY,677.60,680.74,674.90,676.47,
2025-12-18,TSLA,478.16,490.86,473.12,483.37,
2025-12-19,AAPL,272.14,274.58,269.90,273.67,
2025-12-19,AMZN,226.76,229.12,225.58,227.35,
2025-12-19,AVGO,333.33,341.44,332.58,340.36,
2025-12-19,BRK-B,503.05,503.65,494.53,494.53,
2025-12-19,GLD,397.92,400.63,397.17,399.02,
2025-12-19,META,666.51,670.16,658.18,658.77,
2025-12-19,MSFT,487.36,487.85,482.49,485.92,
2025-12-19,NVDA,176.66,181.45,176.35,180.99,
2025-12-19,PLTR,186.74,195.00,186.78,193.38,
2025-12-19,QQQ,611.95,617.62,611.87,617.05,
2025-12-19,SPY,676.59,681.09,676.47,680.59,
2025-12-19,TSLA,488.12,490.49,474.75,481.20,
2025-12-22,AAPL,272.86,273.88,270.51,270.97,
2025-12-22,AMZN,228.61,229.48,226.71,228.43,
2025-12-22,AVGO,346.03,346.24,337.22,341.45,
2025-12-22,BRK-B,496.34,500.30,495.55,499.95,
2025-12-22,GLD,406.98,408.52,405.72,408.23,
2025-12-22,META,661.65,673.58,656.65,661.50,
2025-12-22,MSFT,486.11,488.73,482.69,484.92,
2025-12-22,NVDA,183.92,184.16,182.35,183.69,
2025-12-22,PLTR,195.04,198.88,192.43,193.98,
2025-12-22,QQQ,621.35,621.65,617.77,619.21,
2025-12-22,SPY,683.94,685.36,680.59,684.83,
2025-12-22,TSLA,489.88,498.82,485.33,488.73,
2025-12-23,AAPL,270.84,272.45,269.56,272.36,
2025-12-23,AMZN,229.05,232.45,228.73,232.14,
2025-12-23,AVGO,340.81,350.11,338.54,349.32,
2025-12-23,BRK-B,500.48,502.31,498.17,500.51,
2025-12-23,GLD,410.30,413.75,407.11,413.64,
2025-12-23,META,660.05,666.00,658.25,664.94,
2025-12-23,MSFT,484.88,487.83,484.74,486.85,
2025-12-23,NVDA,182.96,189.33,182.90,189.21,
2025-12-23,PLTR,192.82,195.37,191.74,194.13,
2025-12-23,QQQ,618.20,622.40,617.78,622.11,
2025-12-23,SPY,683.92,688.20,683.88,687.96,
2025-12-23,TSLA,489.30,491.94,482.84,485.56,
2025-12-24,AAPL,272.34,275.43,272.25,273.81,
2025-12-24,AMZN,232.13,232.95,231.33,232.38,
2025-12-24,AVGO,350.68,352.86,347.14,350.22,
2025-12-24,BRK-B,500.29,501.51,499.25,501.34,
2025-12-24,GLD,412.25,412.62,408.83,411.93,
2025-12-24,META,662.53,668.18,662.20,667.55,
2025-12-24,MSFT,485.80,489.16,484.83,488.02,
2025-12-24,NVDA,187.92,188.72,186.59,188.61,
2025-12-24,PLTR,193.24,195.17,192.83,194.17,
2025-12-24,QQQ,622.03,624.27,621.72,623.93,
2025-12-24,SPY,687.95,690.83,687.80,690.38,
2025-12-24,TSLA,488.51,490.90,476.80,485.40,
