Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-07-31,AAPL,304.81,310.69,300.00,308.91,127398021.00,-7.35
2026-07-31,AMZN,264.98,273.23,262.05,271.58,125921078.00,15.32
2026-07-31,AVGO,394.39,399.92,379.71,389.28,18487399.00,0.37
2026-07-31,BRK-B,508.99,513.03,506.71,511.54,2521127.00,0.36
2026-07-31,GLD,370.84,372.01,368.83,371.54,6594919.00,-1.49
2026-07-31,GOOGL,341.50,358.55,340.00,356.13,46347613.00,6.73
2026-07-31,IGLN.L,79.10,79.12,78.00,78.33,351217.00,-1.51
2026-07-31,JNJ,256.01,258.47,253.29,256.35,4552080.00,0.21
2026-07-31,KMI,31.55,32.28,31.55,32.18,6118751.00,1.64
2026-07-31,META,543.56,558.33,540.24,556.71,24155637.00,3.28
2026-07-31,MSFT,449.58,466.84,449.55,464.72,56468734.00,3.02
2026-07-31,NDAQ,94.46,95.17,93.81,94.19,3181751.00,-1.02
2026-07-31,NUGT,112.95,114.42,107.15,110.82,656491.00,-6.72
2026-07-31,NVDA,198.44,201.97,194.95,200.75,139261166.00,2.93
2026-07-31,OXY,56.00,57.10,55.55,57.07,6690461.00,2.00
2026-07-31,PLTR,122.34,123.39,119.63,123.06,27949500.00,0.65
2026-07-31,PPLT,14.78,15.02,14.64,14.96,1667144.00,-0.47
2026-07-31,QQQ,692.12,695.77,680.05,687.99,50028419.00,0.65
2026-07-31,QQQM,284.98,286.42,280.08,283.29,3471668.00,0.69
2026-07-31,SMCI,28.65,29.30,27.21,28.40,34196677.00,2.42
2026-07-31,SPCX,113.10,113.64,107.57,108.37,54866858.00,-3.41
2026-07-31,SPY,744.68,748.90,737.68,747.03,59137694.00,0.72
2026-07-31,SPYM,87.66,88.14,86.83,87.90,9833055.00,0.68
2026-07-31,TSLA,309.60,315.50,301.97,311.21,35616593.00,0.76
2026-07-31,XLK,177.46,178.62,172.70,175.35,9077432.00,-0.22
